repo_name,repoType,sizeUsers,status,lifeSpan,authors,commits,pulls,issues,comments,reviews,language
eperegrine/script_sanitizer.js,User,2,Alive,56,2,58,0,1,2,0,NPM
eptaccio/angular-loading-feedback,User,2,Dead,21,2,42,2,0,0,0,NPM
eptaccio/angular-material-facade,User,1,Dead,13,1,20,0,0,0,0,NPM
eptaccio/angular-materializecss-autocomplete,User,2,Dead,17,4,24,0,9,2,0,NPM
evoluchain/eve-react,Organization,2,Dead,28,2,80,0,0,0,0,NPM
feathericon/feathericon,Organization,3,Alive,58,23,316,70,59,29,0,NPM
flyingunicorn222/1broker-client,User,3,Dead,19,6,165,0,4,4,0,NPM
fromtheoutfit/fadable,Organization,2,Alive,65,3,80,53,6,15,0,NPM
fulls1z3/ngx-config,User,3,Alive,58,70,217,129,41,363,6,NPM
fulls1z3/ngx-meta,User,3,Alive,59,177,313,125,92,566,7,NPM
genpw/genpw,Organization,3,Dead,60,8,489,221,6,149,0,NPM
gldraphael/chordsheet,User,1,Dead,13,1,106,2,6,2,0,NPM
gloriajs/gloria,Organization,3,Dead,17,22,267,40,83,157,3,NPM
gm0t/react-sticky-el,User,3,Alive,55,93,79,28,44,138,3,NPM
gm0t/react-virtual-scroll,User,1,Dead,13,1,7,0,0,0,0,NPM
gswalden/pkg-env,User,1,Dead,19,1,10,1,0,0,0,NPM
gswalden/to-zero,User,1,Dead,2,0,8,0,0,0,0,NPM
gswalden/virvar,User,1,Dead,4,1,12,0,0,0,0,NPM
gurov/yandex-colors,User,1,Dead,25,1,21,0,0,0,0,NPM
gw2efficiency/account-statistics,Organization,3,Alive,60,6,276,13,0,20,4,NPM
gw2efficiency/account-value,Organization,2,Alive,60,2,137,1,0,0,0,NPM
gw2efficiency/chat-codes,Organization,2,Dead,50,4,40,8,0,35,0,NPM
gw2efficiency/item-attributes,Organization,2,Dead,52,2,56,1,0,0,0,NPM
gw2efficiency/item-value,Organization,3,Alive,65,7,264,17,0,20,6,NPM
gw2efficiency/playerbase-statistics,Organization,2,Alive,59,3,30,7,2,26,0,NPM
gw2efficiency/recipe-calculation,Organization,3,Alive,65,6,119,6,0,5,1,NPM
gw2efficiency/recipe-nesting,Organization,2,Alive,66,2,47,1,0,0,0,NPM
gw2efficiency/scraping,Organization,3,Alive,67,6,85,10,0,11,3,NPM
gw2efficiency/tradingpost-fees,Organization,2,Dead,46,2,14,1,0,0,0,NPM
hanford/angular-date-input,User,2,Dead,31,3,6,1,2,3,0,NPM
haoliangyu/node-project-starter,User,2,Alive,61,3,21,9,0,1,0,NPM
harkal/fast-throttler,User,2,Dead,46,2,18,2,0,0,0,NPM
hawkular/hawkinit,Organization,3,Dead,11,11,154,13,30,62,8,NPM
hergaiety/blabber-comic,User,2,Dead,32,2,21,1,3,0,0,NPM
hhsnopek/code-frame,User,3,Dead,45,8,53,37,10,148,0,NPM
hoyangtsai/gulp-file-post,User,2,Dead,38,3,38,0,2,1,0,NPM
imdreamrunner/js-id-number,User,2,Alive,59,2,49,21,0,2,0,NPM
irazasyed/fb-kit,User,1,Dead,0,1,1,0,0,0,0,NPM
jaebradley/nba-stats-client,User,3,Alive,59,7,75,42,20,379,0,NPM
jahredhope/base64-image-loader,User,3,Dead,49,6,21,18,1,270,2,NPM
jahredhope/some-values,User,1,Dead,20,1,4,1,0,0,0,NPM
javierarmendariz/react-accordeon,User,1,Dead,0,1,11,0,0,0,0,NPM
